"PlcIndex","RankRad1","RankRad2","RankRad3","RankRad4","RankRad5","RankRad6","RankRad7","RankRad8","RankRad9","RankRad10","RankRad11","RankRad12","RankRad13","RankRad14","RankRad15","RankRad16","RankRad17","RankRad18","RankRad19","RankRad20"
2027,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2034,0,37,29,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2043,48,38,30,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2045,48,38,30,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2074,0,39,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2077,22,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2084,0,0,13,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2095,0,19,17,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2096,49,19,17,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2097,49,19,17,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2099,0,0,31,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2103,0,0,31,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2106,46,11,11,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2107,0,11,11,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2116,0,0,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2117,47,36,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2118,0,0,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2124,0,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2147,12,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2156,0,22,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2161,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2167,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2190,0,39,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3007,0,0,0,6,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3018,0,0,18,6,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3025,0,0,18,6,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3037,0,0,0,0,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3063,0,0,18,6,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
3119,24,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3121,24,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3143,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2
3154,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3160,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,2,2,2,2,2
3172,0,0,19,10,7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4004,0,40,19,10,7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4017,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4077,0,40,19,10,7,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4092,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4122,0,0,12,7,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4127,26,20,12,7,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4128,26,20,12,7,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4133,26,20,12,7,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2
4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
