"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMLA";Nb_runs_ROMLB
1133;164990;438980;"Lienden";"Hoog-Broek";"rural settlement";10;1000;1000
1135;165250;438450;"Lienden";"Nelly's Hof";"rural settlement";10;726;975
1136;165500;438250;"Lienden";"Boutenburg II";"rural settlement";10;1000;1000
1139;192750;416050;"Milsbeek";"Pastoorsdijk";"rural settlement";10;994;1000
1145;196400;412700;"Ottersum";"Sportterrein";"rural settlement";10;782;988
1148;194800;412600;"Gennep";"Stamelberg";"rural settlement; burial(s)";10;163;937
1151;192100;413150;"Oeffelt";"Cuijkseweg I";"rural settlement";10;683;974
1154;178800;424550;"Wijchen";"Molenberg";"burial(s); rural settlement";10;1000;1000
1160;134900;425180;"Brakel";"Molenkampsweg";"rural settlement";10;1000;1000
1168;187350;416050;"Cuijk";"Ewinkel";"rural settlement";10;1000;981
1172;185450;417000;"Linden";"'t Westen";"rural settlement";10;1000;1000
2006;141991;449957;"Odijk";"Houtenseweg III";"rural settlement?";10;1000;1000
2009;143260;448020;"Werkhoven";"Oostromsedijkje-Midden";"rural settlement";10;1000;1000
2012;143796;442691;"Schalkwijk";"Lekdijk";"rural settlement";10;1000;1000
2016;152970;444060;"Wijk bij Duurstede";"Landscheidingsweg";"rural settlement";10;965;1000
2025;150755;444090;"Wijk bij Duurstede";"Witte Leuningen";"rural settlement; road";10;1000;1000
2044;166560;441570;"Rhenen";"Utrechtsestraatweg";"rural settlement; burial(s)";10;107;901
2048;169460;441670;"Rhenen";"Levendaalseweg";"rural settlement";10;1000;1000
2053;166110;445375;"Achterberg";"Blauwendraad";"rural settlement";10;871;999
2062;148800;431000;"Meteren";"De Plantage";"rural settlement";10;1000;1000
2065;158400;436480;"Medel";"Grotebrugse Grindweg";"rural settlement";10;392;901
2066;159670;435580;"Medel";"Krommewei";"rural settlement";10;1000;1000
2073;182670;435590;"Valburg";"Molenzicht";"rural settlement?; burial(s)";10;1000;1000
2074;183850;433200;"Valburg";"Nieuwe Dijk";"rural settlement";10;1000;1000
2088;191168;439607;"Huissen";"Zeegbos";"rural settlement";10;1000;1000
2091;196500;434980;"Doornenburg";"Koffiemolen";"rural settlement";10;994;1000
2096;197925;441125;"Duiven";"De Eng";"rural settlement";10;1000;1000
2099;199211;433673;"Pannerden";"Uiterwaarden Oostoever";"rural settlement";10;1000;1000
2105;192250;429350;"Persingen";"Circul van Ooij";"rural settlement";10;556;952
2106;193500;421365;"Groesbeek";"Hüsenhoff";"rural settlement; cult site?; burial(s)";10;944;1000
2107;193508;419222;"Breedeweg";"Parachutistenstraat";"rural settlement";10;773;984
2116;185150;415460;"Beers";"Dommelsvoort II";"rural settlement";10;1000;1000
2117;187788;415962;"Cuijk";"Groot Heiligenberg";"rural settlement";10;868;997
2118;190050;413800;"Cuijk";"Messemaker";"rural settlement";10;462;874
2124;178100;424500;"Wijchen";"Oude Klapstraat";"rural settlement";10;644;975
2144;186630;431440;"Lent";"Koudenhoek";"rural settlement; burial(s)?";10;854;994
2156;174540;420940;"Overlangel";"Asboom";"rural settlement";10;1000;1000
2164;166445;423754;"Macharen";"Harense Broek II";"rural settlement";10;997;1000
2167;167950;412475;"Nistelrode";"Zwarte Molen";"rural settlement; burial(s); cult site";10;1000;1000
2185;146500;427625;"Waardenburg";"De Vergt";"rural settlement?";10;1000;1000
3007;89400;470900;"Noordwijk";"Hertenkamp";"rural settlement";10;378;681
3029;92450;464600;"Leiden";"Darwinweg";"rural settlement";10;960;1000
3033;97350;464600;"Leiderdorp";"De Bloemerd II";"rural settlement";10;1000;1000
3037;97100;462750;"Leiderdorp";"Munnikkenpolder I";"rural settlement";10;1000;1000
3044;100075;461540;"Koudekerk aan den Rijn";"Hondsdijkse Polder IV";"rural settlement";10;769;997
3045;97050;463180;"Leiderdorp";"Munnikkenpolder II";"rural settlement";10;1000;1000
3051;88625;467825;"Katwijk";"Zanderij-Westerbaan I";"rural settlement; burial(s); road";10;1000;1000
3057;83275;462940;"Wassenaar";"Kikkervallei";"rural settlement?; burial(s)";10;1000;1000
3063;92865;463130;"Leiden";"Haagwegterrein";"rural settlement";10;1000;1000
3070;101330;460280;"Hazerswoude";"Oostvaartpark";"rural settlement; road";10;999;1000
3074;107350;458300;"Alphen aan den Rijn";"Goudse Rijpad I";"rural settlement; road";10;1000;1000
3089;76749;451048;"Den Haag";"Nikkelwerf";"rural settlement";10;1000;1000
3096;79350;449720;"Den Haag";"Hoge Veld";"rural settlement";10;1000;1000
3102;82850;451400;"Rijswijk";"Havenstraat";"rural settlement; burial(s)?";10;0;1000
3103;81275;451160;"Rijswijk";"van Vredenburgweg";"rural settlement; burial(s)?";10;1000;1000
3113;130710;454540;"De Meern";"van Heemskerklaan";"rural settlement; road";10;749;982
3119;128430;458430;"Vleuten";"Haarpad";"rural settlement";10;997;1000
3143;82600;458400;"Wassenaar";"Groenendaal";"rural settlement";10;938;997
3155;89685;460243;"Voorschoten";"Oranjepolder";"rural settlement?";10;997;1000
4004;79496;450305;"Den Haag";"Noordhof";"rural settlement";10;1000;1000
4019;128819;456065;"De Meern";"Vleuterweide";"rural settlement; military settlement; road";10;1000;1000
4072;75750;449462;"Poeldijk";"Westhof I";"rural settlement";10;1000;1000
4073;75368;449551;"Poeldijk";"Westhof II";"rural settlement";10;1000;1000
4074;78978;449570;"Wateringen";"Juliahof";"rural settlement; burial(s)";10;1000;1000
